rank,release_date,title,production_budget,worlwide_gross,domestic_gross
3619,01/10/99,Drive Me Crazy,8000000,22591451,17843379
4689,01/10/99,Happy Texas,1700000,2891228,2039192
613,1/15/1999,Virus,75000000,30626690,14010690
1388,1/15/1999,At First Sight,40000000,22365133,22365133
1830,1/15/1999,In Dreams,30000000,12017369,12017369
2729,1/15/1999,Varsity Blues,16000000,54294169,52894169
4702,1/15/1999,Mississippi Mermaid,1600000,2627795,27795
1842,1/22/1999,Gloria,30000000,4967493,4167493
5259,1/22/1999,Bacheha-Ye aseman,180000,1628579,933933
3310,1/29/1999,She's All That,10000000,63465522,63465522
1376,02/04/99,The Out-of-Towners,40000000,28544120,28544120
5387,02/04/99,Following,6000,240495,48482
2258,02/07/99,Summer of Sam,22000000,19288130,19288130
5033,02/07/99,Broken Vessels,600000,85343,15030
3385,2/19/1999,Office Space,10000000,12179708,10827813
4385,2/19/1999,Jawbreaker,3000000,3076820,3076820
1360,2/26/1999,8MM,40000000,96398826,36443442
3861,2/26/1999,200 Cigarettes,6000000,6852450,6852450
5322,2/26/1999,20 Dates,66000,602920,541636
2218,03/12/99,The End of the Affair,23000000,10660147,10660147
3202,3/19/1999,Ravenous,12000000,2062406,2062406
4919,3/19/1999,Sparkler,1000000,5494,5494
864,3/26/1999,EDtv,60000000,35319689,22508689
3001,3/26/1999,A Walk on the Moon,14000000,4741987,4741987
3990,3/26/1999,Doug's 1st Movie,5000000,19421271,19421271
4226,3/26/1999,Among Giants,4000000,64359,64359
711,3/31/1999,The Matrix,65000000,463517383,171479930
3048,3/31/1999,Ten Things I Hate About You,13000000,60414025,38177966
950,04/06/99,Instinct,55000000,34105207,34105207
3589,04/06/99,Limbo,8300000,2598224,2160710
4065,04/06/99,Desert Blue,5000000,99147,99147
1091,04/08/99,The Iron Giant,50000000,31333917,23159305
3072,04/08/99,Dick,13000000,6276869,6276869
4409,04/08/99,The Gambler,3000000,101773,51773
595,4/16/1999,Life,75000000,73521587,64062587
1653,4/23/1999,Pushing Tin,33000000,8408835,8408835
2303,4/23/1999,eXistenZ,20700000,2840417,2840417
2997,4/23/1999,Lost and Found,14000000,6552255,6552255
3577,4/23/1999,Election,8500000,17202854,14943582
703,4/30/1999,Entrapment,66000000,211700000,87707396
2913,4/30/1999,Idle Hands,15000000,4023741,4023741
4585,4/30/1999,Get Real,2000000,1152411,1152411
1025,05/02/99,Payback,50000000,161626121,81526121
3870,05/02/99,Simply Irresistible,6000000,4398989,4398989
1719,05/03/99,Analyze This,30000000,176885658,106885658
